JnlTranID,Zip Code,DATE
15983949,46814,11/23/2014
15983951,46204,11/23/2014
15983953,46235,11/23/2014
15983954,46235,11/23/2014
15983963,34145,11/23/2014
15983974,46214,11/23/2014
15983975,45066,11/23/2014
15983988,60201,11/23/2014
15983989,46220,11/23/2014
15983992,75060,11/23/2014
15983993,46074,11/23/2014
15984002,46208,11/23/2014
15984018,47978,11/23/2014
15984023,46204,11/23/2014
15984031,32803,11/23/2014
15984033,46032,11/23/2014
15984037,46239,11/23/2014
15984052,46217,11/23/2014
15984053,46082,11/23/2014
15984054,16365,11/23/2014
15984061,46203,11/23/2014
15984065,46202,11/23/2014
15984066,46228,11/23/2014
15984067,46260,11/23/2014
15984068,46635,11/23/2014
15984072,46236,11/23/2014
15984074,21230,11/23/2014
15984075,46226,11/23/2014
15984076,46225,11/23/2014
15984091,46260,11/23/2014
15984092,46240,11/23/2014
15984094,46260,11/23/2014
15984095,46260,11/23/2014
15984096,46202,11/23/2014
15984097,46234,11/23/2014
15984098,46254,11/23/2014
15984100,46938,11/23/2014
15984105,47404,11/23/2014
15984113,46220,11/23/2014
15984120,46201,11/23/2014
15984125,46229,11/23/2014
15984126,46220,11/23/2014
15984140,46240,11/23/2014
15984149,46205,11/23/2014
15984154,46203,11/23/2014
15984159,46113,11/23/2014
15984166,46123,11/23/2014
15984168,46064,11/23/2014
15984225,60615,11/23/2014
15984267,46017,11/23/2014
15984270,46260,11/23/2014
15984271,46260,11/23/2014
15984272,46202,11/23/2014
15984277,46123,11/23/2014
15984278,46260,11/23/2014
15984279,46012,11/23/2014
15984280,46220,11/23/2014
15984282,46202,11/23/2014
15984283,46254,11/23/2014
15984284,46280,11/23/2014
15984285,46060,11/23/2014
15984287,46123,11/23/2014
15984288,46204,11/23/2014
15984289,47501,11/23/2014
15984291,47501,11/23/2014
15984292,46224,11/23/2014
15984295,46222,11/23/2014
15984296,46204,11/23/2014
15984297,72113,11/23/2014
15984300,46220,11/23/2014
15984301,46208,11/23/2014
15984302,46208,11/23/2014
15984305,46143,11/23/2014
15984306,46204,11/23/2014
15984307,46202,11/23/2014
15984314,46148,11/23/2014
15984323,46202,11/23/2014
15984325,46123,11/23/2014
15984326,46235,11/23/2014
15984328,46250,11/23/2014
15984329,46202,11/23/2014
15984330,71115,11/23/2014
15984331,46226,11/23/2014
15984333,46365,11/23/2014
15984431,46901,11/24/2014
15984432,46901,11/24/2014
15984433,46970,11/24/2014
15984435,46260,11/24/2014
15984436,46140,11/24/2014
15984437,46140,11/24/2014
